iter	Passed	Remaining
0	0	88
1	1	84
2	2	83
3	3	77
4	3	75
5	4	74
6	5	72
7	6	71
8	6	70
9	7	70
10	8	69
11	9	68
12	10	68
13	11	67
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	63
20	16	62
21	17	62
22	18	62
23	19	61
24	20	60
25	20	59
26	21	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	41	38
52	41	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	32
59	47	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	11
86	68	10
87	69	9
88	69	8
89	71	7
90	72	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
