iter	Passed	Remaining
0	1	1174
1	2	1173
2	3	1130
3	4	1124
4	5	1152
5	6	1125
6	7	1096
7	8	1076
8	9	1056
9	10	1051
10	11	1033
11	12	1027
12	13	1017
13	14	1032
14	15	1032
15	16	1026
16	17	1017
17	18	1013
18	19	1023
19	21	1032
20	22	1030
21	23	1028
22	24	1027
23	25	1024
24	26	1020
25	27	1015
26	28	1010
27	29	1009
28	30	1008
29	31	1003
30	32	1000
31	33	999
32	34	1004
33	35	1005
34	36	1008
35	37	1008
36	38	1005
37	39	1003
38	40	1002
39	41	1001
40	42	998
41	43	996
42	44	994
43	45	990
44	46	987
45	47	984
46	48	983
47	49	984
48	50	985
49	52	989
50	53	993
51	54	992
52	55	992
53	56	996
54	58	1001
55	59	1003
56	60	1005
57	62	1008
58	63	1010
59	64	1015
60	66	1019
61	68	1028
62	69	1027
63	70	1025
64	71	1029
65	73	1033
66	74	1043
67	76	1043
68	77	1040
69	78	1037
70	79	1036
71	81	1048
72	82	1052
73	84	1051
74	85	1052
75	86	1054
76	87	1053
77	89	1052
78	89	1049
79	90	1044
80	91	1040
81	92	1037
82	93	1028
83	94	1025
84	95	1029
85	97	1031
86	98	1029
87	99	1030
88	100	1032
89	101	1029
90	102	1028
91	103	1025
92	105	1024
93	105	1021
94	107	1021
95	108	1019
96	109	1018
97	111	1021
98	112	1025
99	114	1028
100	115	1025
101	116	1022
102	117	1019
103	118	1016
104	119	1015
105	120	1012
106	120	1009
107	121	1005
108	122	1002
109	123	999
110	124	1001
111	126	1002
112	128	1006
113	129	1004
114	130	1002
115	131	1003
116	132	1001
117	133	1000
118	134	998
119	135	996
120	137	996
121	138	993
122	139	991
123	140	989
124	140	986
125	141	984
126	143	983
127	144	985
128	145	985
129	146	983
130	147	980
131	148	978
132	149	975
133	150	974
134	151	972
135	152	970
136	153	969
137	155	968
138	156	969
139	158	972
140	159	970
141	159	966
142	160	963
143	161	961
144	162	958
145	163	956
146	164	953
147	165	951
148	166	949
149	167	947
150	168	946
151	169	947
152	171	947
153	172	945
154	173	943
155	174	941
156	175	939
157	176	937
158	177	936
159	178	934
160	178	931
161	179	929
162	180	926
163	181	924
164	182	923
165	183	921
166	184	919
167	185	918
168	186	916
169	187	914
170	188	912
171	189	910
172	189	908
173	190	906
174	191	904
175	192	902
176	193	899
177	194	897
178	195	896
179	196	894
180	197	892
181	198	890
182	199	890
183	200	890
184	201	888
185	202	886
186	203	884
187	204	882
188	205	880
189	206	878
190	206	876
191	207	874
192	208	872
193	209	870
194	210	868
195	211	867
196	212	866
197	213	864
198	214	863
199	215	861
200	216	861
201	217	859
202	218	857
203	219	856
204	220	854
205	221	852
206	222	850
207	223	849
208	223	847
209	224	845
210	225	844
211	226	843
212	227	842
213	228	840
214	229	839
215	231	841
216	232	840
217	233	838
218	234	836
219	235	834
220	236	832
221	237	830
222	238	829
223	238	827
224	240	828
225	241	826
226	242	825
227	243	823
228	244	821
229	245	820
230	246	819
231	247	817
232	247	816
233	248	814
234	249	813
235	251	813
236	252	814
237	253	812
238	255	812
239	256	812
240	257	811
241	258	810
242	259	809
243	260	808
244	261	806
245	263	806
246	264	806
247	265	805
248	266	804
249	267	803
250	268	801
251	269	800
252	270	799
253	271	798
254	272	796
255	273	795
256	274	793
